# 1.Dataset  2.sqrt_N0  3.N1  4.P  5.Ptest  6.T  7.lambda0  8.lambda1  9.noise  10.theory
cifar10 32 300 75 1000 1.0 1.0 1.0 0.0 0.3863341917039275
cifar10 32 400 100 1000 1.0 1.0 1.0 0.0 0.34815228148945565
cifar10 32 500 125 1000 1.0 1.0 1.0 0.0 0.3323595609058833
cifar10 32 600 150 1000 1.0 1.0 1.0 0.0 0.3203123559348301
cifar10 32 700 175 1000 1.0 1.0 1.0 0.0 0.3131511400498529
cifar10 32 800 200 1000 1.0 1.0 1.0 0.0 0.30238889203094027
cifar10 32 900 225 1000 1.0 1.0 1.0 0.0 0.2947366906751584
cifar10 32 1000 250 1000 1.0 1.0 1.0 0.0 0.2899359488182758
cifar10 32 1100 275 1000 1.0 1.0 1.0 0.0 0.28505268194627115
cifar10 32 1200 300 1000 1.0 1.0 1.0 0.0 0.28075673784800675
cifar10 32 1300 325 1000 1.0 1.0 1.0 0.0 0.2773226477049072
cifar10 32 1400 350 1000 1.0 1.0 1.0 0.0 0.273393742862049
cifar10 32 1500 375 1000 1.0 1.0 1.0 0.0 0.2708126685562463
cifar10 32 1600 400 1000 1.0 1.0 1.0 0.0 0.2694476290461878
cifar10 32 1700 425 1000 1.0 1.0 1.0 0.0 0.2662136145068388
cifar10 32 1800 450 1000 1.0 1.0 1.0 0.0 0.263592029967278
cifar10 32 1900 475 1000 1.0 1.0 1.0 0.0 0.2617134511634168
cifar10 32 2000 500 1000 1.0 1.0 1.0 0.0 0.25914840596419775
cifar10 32 2100 525 1000 1.0 1.0 1.0 0.0 0.25580288353028946
cifar10 32 2200 550 1000 1.0 1.0 1.0 0.0 0.2545516003689382
cifar10 32 2300 575 1000 1.0 1.0 1.0 0.0 0.25149375447827005
cifar10 32 2400 600 1000 1.0 1.0 1.0 0.0 0.2513646038355884
cifar10 32 2500 625 1000 1.0 1.0 1.0 0.0 0.25086055691708353
cifar10 32 2600 650 1000 1.0 1.0 1.0 0.0 0.2504248692597711
cifar10 32 2700 675 1000 1.0 1.0 1.0 0.0 0.24849026191056148
cifar10 32 2800 700 1000 1.0 1.0 1.0 0.0 0.2472699367994686
cifar10 32 2900 725 1000 1.0 1.0 1.0 0.0 0.24634187895799767
cifar10 32 3000 750 1000 1.0 1.0 1.0 0.0 0.24490945729117714
cifar10 32 3100 775 1000 1.0 1.0 1.0 0.0 0.24380943296475266
cifar10 32 3200 800 1000 1.0 1.0 1.0 0.0 0.24181937994265468
cifar10 32 3300 825 1000 1.0 1.0 1.0 0.0 0.2408673803247513
cifar10 32 3400 850 1000 1.0 1.0 1.0 0.0 0.2390806384103137
cifar10 32 3500 875 1000 1.0 1.0 1.0 0.0 0.2389877881867414
cifar10 32 3600 900 1000 1.0 1.0 1.0 0.0 0.23790747774011436
cifar10 32 3700 925 1000 1.0 1.0 1.0 0.0 0.23699756347650183
cifar10 32 3800 950 1000 1.0 1.0 1.0 0.0 0.23611289599761653
cifar10 32 3900 975 1000 1.0 1.0 1.0 0.0 0.23532855717233184
cifar10 32 4000 1000 1000 1.0 1.0 1.0 0.0 0.23411670188577577
cifar10 32 4100 1025 1000 1.0 1.0 1.0 0.0 0.23321101578076178
cifar10 32 4200 1050 1000 1.0 1.0 1.0 0.0 0.23233591903757905
cifar10 32 4300 1075 1000 1.0 1.0 1.0 0.0 0.2322024316470923
cifar10 32 4400 1100 1000 1.0 1.0 1.0 0.0 0.23142617162072987
cifar10 32 4500 1125 1000 1.0 1.0 1.0 0.0 0.23046995255990851
cifar10 32 4600 1150 1000 1.0 1.0 1.0 0.0 0.22946519148420907
cifar10 32 4700 1175 1000 1.0 1.0 1.0 0.0 0.22878642622734707
cifar10 32 4800 1200 1000 1.0 1.0 1.0 0.0 0.2280448282888731
cifar10 32 4900 1225 1000 1.0 1.0 1.0 0.0 0.22699354888779408
